	JH1T	JH3T	JH4T	JH5T	JH6T	JH7T	JH1O	JH3O	JH4O	JH5O	JH6O	JH7O	JH1S	JH3S	JH4S	JH5S	JH6S	JH7S	GENE	Group	Transcripts_count	
PF00034	0.345685185	0.273296296	0.129722222	0.420296296	0.246240741	0.388833333	0.292703704	1.524333333	0.342222222	0.322222222	0.688962963	0.658481481	2.801444444	4.329203704	2.455037037	0.895981481	2.105981481	1.147296296	PF00034	RNS	27	Cytochrome c
PF00042	2.184970588	2.479529412	0.773647059	0.890441176	2.131647059	1.118264706	0.283764706	0.131794118	0.429470588	0.131764706	0.625411765	0.603205882	0	0.123411765	0.507411765	1.618147059	1.530352941	0.818970588	PF00042	RNS	17	Globin
PF00115	0.129628571	0	0	0.041228571	0.053914286	0.052085714	1.341071429	0.416914286	8.280142857	2.585642857	4.444428571	5.229871429	1.0257	0.485371429	3.281585714	5.946785714	1.407042857	1.741657143	PF00115	RNS	35	Cytochrome C and Quinol oxidase polypeptide I
PF00175	0.617813725	0.695313725	0.208294118	0.439343137	0.424392157	0.699990196	0.31954902	0.356803922	0.636539216	0.729607843	1.166431373	0.544892157	1.176411765	0.522980392	1.108215686	1.298715686	1.351372549	0.725215686	PF00175	RNS	51	Oxidoreductase NAD-binding domain
PF00970	0.668458333	0.355375	0.490416667	0.26075	0.434375	0.122125	0.244208333	0.441375	0.358041667	0.990083333	0.772375	0.171541667	0.614333333	0.294583333	1.00975	0.818166667	1.79475	2.093541667	PF00970	RNS	12	Oxidoreductase FAD-binding domain
PF10417	0.08894	0.07872	0.18112	0	0.08422	0.06254	0.23252	1.0218	0.74756	1.38686	1.18156	1.69296	1.52648	0.05106	1.67252	1.04484	1.35796	1.68736	PF10417	RNS	25	C-terminal domain of 1-Cys peroxiredoxin
PF18764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.387	1.5595	0	0	PF18764	RNS	1	Nitrous oxide reductase propeller repeat
PF00080	0.167825	0.215825	0	0	0.214775	0	0.363925	0.105775	0.84375	1.156525	0.677175	1.0391	1.49795	0.143025	0.932	0.93625	1.877325	1.354425	PF00080	ROS	20	Copper/zinc superoxide dismutase (SODC)
PF00081	0	0.07746875	0	0	0.1276875	0.042125	0.2209375	0.7278125	1.762875	0.399875	0.72121875	1.5006875	0.48921875	0.23290625	4.11021875	0.77075	2.38528125	1.5716875	PF00081	ROS	16	Iron/manganese superoxide dismutases
PF00141	0.715658537	1.042817073	0.417365854	0.466841463	0.875109756	0.665097561	0.32904878	0.434353659	0.656695122	0.731865854	0.783597561	0.443097561	0.645463415	0.147768293	0.728304878	0.821292683	1.508890244	0.956329268	PF00141	ROS	41	Peroxidase
PF00462	0.948479167	1.525572917	0.524166667	0.51784375	1.085145833	1.187572917	0.839666667	0.782708333	1.342385417	1.154385417	0.7380625	1.222208333	0.971260417	1.196291667	1.34365625	0.711854167	1.860291667	1.068416667	PF00462	ROS	48	Glutaredoxin
PF00578	0.254116279	0.357069767	0.322209302	0.081325581	0.306046512	0.23122093	0.801476744	1.038953488	1.508755814	1.964604651	1.227476744	0.817174419	1.097034884	0.143895349	1.18827907	0.795593023	1.931069767	0.877255814	PF00578	ROS	43	AhpC/TSA family
PF02777	0.050217391	0.059282609	0.196391304	0.034478261	0.095934783	0.184478261	0.311282609	0.505978261	0.313043478	0.733978261	0.540586957	0.345304348	2.762086957	5.167282609	0.251043478	2.143695652	0.897195652	0.832021739	PF02777	ROS	23	"Iron/manganese superoxide dismutases, C-terminal domain"
PF13192	0	0	0	0	0	0	0	0	0	0	0	0	2.845	0	0	0	0	2.551	PF13192	ROS	1	Thioredoxin domain
