KEGG	JH1T	JH3T	JH4T	JH5T	JH6T	JH7T	JH1O	JH3O	JH4O	JH5O	JH6O	JH7O	JH1S	JH3S	JH4S	JH5S	JH6S	JH7S	GENE	PATHWAY	Transcripts_count
K09709	0	0	0	0	0	0	2.441166667	0	1.762333333	0	0	0	3.828333333	0.806833333	0.742333333	1.2155	0	0.61	K09709:meh	Carbon_fixation	3
K00855	0.45375	0.776	0.223025	0.422025	0.47895	0.434475	0.40545	2.10875	0.822475	1.450725	0.364	0.85345	1.413475	1.01465	0.27865	0.771425	1.117875	0.34325	K00855:prkB	Carbon_fixation	20
K01601	1.461101266	0.655936709	0.757822785	1.854689873	0.69628481	1.194132911	10.99909494	12.27656962	35.15420886	19.38585443	10.24796835	32.90473418	1.524	0.803196203	3.382658228	3.213531646	5.199082278	5.580177215	K01601:rbcL	Carbon_fixation	79
K01602	0.131277778	0	0	0	0.109972222	0	0.719055556	1.850583333	0.817166667	3.556444444	3.295944444	0.652916667	15.56877778	1.836166667	2.856722222	5.513638889	6.488194444	2.499694444	K01602:rbcS	Carbon_fixation	18
K03518	0	6.433	0	0	0	0	0	7.92025	0	6.49025	0	4.4835	0	0	0	0	0	3.31575	K03518:coxS	Carbon_fixation	2
K03519	0	0	0	0	0	0	0	0	0	0	1.244666667	0	0.165	0	0	0.471333333	3.106666667	1.412333333	"K03519:coxM,cutM"	Carbon_fixation	3
K03520	0	0	0	0	0	0	0	1.9035	0	0	0	0	0	0	2.1075	8.068	0.8655	0	"K03520:coxL,cutL"	Carbon_fixation	3
K14470	0	0	0	0	0	0	0	0	0	0	1.166416667	0	1.196	0.362333333	0.975166667	0	1.4205	0.741583333	K14470:mct	Carbon_fixation	6
K14534	0	0	0.7585	1.23	0.7135	0	0	0	0	0.69025	0	0	0	0	2.538	0.72375	7.9145	0	K14534:abfD	Carbon_fixation	2
K01895	0	0.052306452	0	0.01583871	0	0	0.018145161	0.248032258	0.109903226	0.285225806	0.518790323	0.996725806	0.735177419	1.940419355	0.553387097	2.036870968	0.057258065	1.473596774	"K01895:ACSS,acs"	Carbon_fixation	31
K14138	0	0	0	0	0	0	0	0	0	0	0	0	0.6065	1.2325	0	0	0	0	K14138:acsB	Carbon_fixation	1
K08929	0	0	0	0	0	0	0.049791667	0.133375	0	0	0.122583333	0	2.943958333	11.68333333	0.948333333	0.047708333	0.195166667	2.07575	K08929:pufM	Photosynthesis	12
K02641	0.7845	0.634956522	0.4375	0.46526087	0.561804348	0.671413043	0.435413043	1.177847826	1.958304348	1.00126087	1.857217391	1.104608696	0.428717391	0.264065217	1.725717391	0.797086957	1.947173913	1.091413043	K02641:petE	Photosynthesis	23
K02636	0.703766667	1.115333333	0.494266667	0.7962	0.978166667	0.881266667	0.467233333	0.865233333	0.877666667	0.319566667	0.354433333	0.838666667	0.422266667	0.235666667	1.7825	1.659166667	2.292966667	2.1173	K02636:petC	Photosynthesis	15
K02703	87.1683806	95.1848806	97.82026866	108.9693731	94.55856716	306.9876343	117.135194	113.1626642	151.7216493	299.6767388	114.1904328	173.7156269	57.73803731	8.088947761	28.76397761	23.38463433	66.95763433	56.49877612	K02703:psbA	Photosynthesis	67
K02689	10.18011864	14.01662712	8.015567797	14.39070339	17.3655678	17.87945763	10.56183051	17.3540678	28.30081356	27.99409322	17.85222034	37.60063559	0.313008475	0.476728814	2.194754237	4.217559322	5.624008475	3.995389831	K02689:psaA	Photosynthesis	59
K02092	0	0.8353	0	0.0644	0.3987	0	0	5.1744	0	2.4952	8.0013	2.2506	0	2.0186	0	0	1.2825	0	K02092:apcA	Photosynthesis	5
K02097	0	1.771	0	0	0	0	0	0	0	1.863	0	0	0	0	0	0	0	0	K02097:apcF	Photosynthesis	1
K02284	0	1.90125	0	2.657	0.51925	0	0	50.907	0	14.2935	21.62475	0.06825	0	2.538	0	0	1.79275	0	K02284:cpcA	Photosynthesis	2
K05376	0	0	0	3.753666667	2.175	0	0	0	0	0.753333333	0	7.458166667	0	0	0	0.867666667	0.664166667	0	"K05376:cpeA,mpeA"	Photosynthesis	3
K05383	0	0	0	0	0	0	0	24.402	0	1.541	1.6585	0	0	0	0	0	0	0	K05383:cpeT	Photosynthesis	1
K08912	0	0	0.24235	0	0	0	1.1094	0	10.8899	0.18925	2.9567	0	0.3075	1.06795	1.7792	0	3.92865	1.4253	K08912:LHCB1	Photosynthesis	10
K08907	0.432	0.645933333	0.0599	0.43	0.274633333	1.164733333	4.178566667	36.6839	16.2398	24.5275	3.308	25.7228	0.987966667	0.225966667	12.4051	4.665566667	3.9146	16.37103333	K08907:LHCA1	Photosynthesis	15
K00368	0	0	0	0	0	0	0	0	0	0	0.409111111	0	0.067388889	0	1.134666667	1.359055556	3.623888889	0	K00368:nirK	Nitrogen	9
K00376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.387	1.5595	0	0	K00376:nosZ	Nitrogen	1
K04561	0	0	0	0	0	0	0	0	0	0	16.351	0	0	0	2.9395	0	0	0	K04561:norB	Nitrogen	1
K15864	0	0	0	0	0	0	0	0	0	0	0.372111111	0	0.396666667	6.140888889	2.457388889	1.865	0.6295	0	K15864:nirS	Nitrogen	9
K02567	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3445	0.629	0	0	0	K02567:napA	Nitrogen	1
K00366	0	0	0	0	0.045227273	0	0.270772727	0.4775	0.187636364	0.217681818	0.094363636	0.380590909	0.276909091	0	1.362181818	1.668136364	2.220954545	0.288681818	K00366:nirA	Nitrogen	11
K10534	0.140564516	0.146741935	0.183516129	0.521419355	0.263983871	0.295419355	0.324209677	0.631387097	0.619032258	0.82	1.797725806	0.479177419	0.675209677	0.660596774	6.75266129	3.500822581	3.188145161	0.675532258	K10534:NR	Nitrogen	31
K10535	0	0	0	0	0.042722222	0	0	0.053166667	0	0	0.050222222	0	0.291444444	2.711944444	0.293611111	0.106	0.165777778	1.937888889	K10535:hao	Nitrogen	9
