	Tissue	Ostreobium	Skeleton	functional categories	Groups
A:	686	2089	2508	RNA processing and modification	INFORMATION STORAGE AND PROCESSING
B:	159	542	681	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
C:	1066	2735	4223	Energy production and conversion	METABOLISM
D:	416	1101	1452	"Cell cycle control, cell division, chromosome partitioning "	CELLULAR PROCESSES AND SIGNALING
E:	670	1860	2940	Amino acid transport and metabolism 	METABOLISM
F:	253	634	1009	Nucleotide transport and metabolism	METABOLISM
G:	1093	2255	3223	Carbohydrate transport and metabolism	METABOLISM
H:	393	1077	1547	Coenzyme transport and metabolism	METABOLISM
I:	670	1646	2418	Lipid transport and metabolism	METABOLISM
J:	1139	3333	4462	"Translation, ribosomal structure and biogenesis"	INFORMATION STORAGE AND PROCESSING
K:	589	2328	3317	Transcription 	INFORMATION STORAGE AND PROCESSING
L:	628	1917	2609	"Replication, recombination and repair "	INFORMATION STORAGE AND PROCESSING
M:	356	1091	1846	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
N:	65	192	459	Cell motility	CELLULAR PROCESSES AND SIGNALING
O:	1900	5016	6482	"Posttranslational modification, protein turnover, chaperones"	CELLULAR PROCESSES AND SIGNALING
P:	998	2032	2919	Inorganic ion transport and metabolism	METABOLISM
Q:	586	1283	1774	"Secondary metabolites biosynthesis, transport and catabolism"	METABOLISM
S:	2932	7900	10847	Function unknown	POORLY CHARACTERIZED
T:	1782	4602	6074	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
U:	991	2623	3579	"Intracellular trafficking, secretion, and vesicular transport"	CELLULAR PROCESSES AND SIGNALING
V:	110	323	492	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
W:	13	90	118	Extracellular structures	CELLULAR PROCESSES AND SIGNALING
Y:	47	199	257	Nuclear structure	CELLULAR PROCESSES AND SIGNALING
Z:	770	1671	2044	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
