x	Sample	Compartment 	Colony	Collection_time
JH1T	JH1T	Tissue	Col1	Day
JH3T	JH3T	Tissue	Col3	Day
JH4T	JH4T	Tissue	Col4	Day
JH5T	JH5T	Tissue	Col5	Day
JH6T	JH6T	Tissue	Col6	Night
JH7T	JH7T	Tissue	Col7	Night
JH1O	JH1O	Ostreobium-layer	Col1	Day
JH3O	JH3O	Ostreobium-layer	Col3	Day
JH4O	JH4O	Ostreobium-layer	Col4	Day
JH5O	JH5O	Ostreobium-layer	Col5	Day
JH6O	JH6O	Ostreobium-layer	Col6	Night
JH7O	JH7O	Ostreobium-layer	Col7	Night
JH1S	JH1S	Skeleton	Col1	Day
JH3S	JH3S	Skeleton	Col3	Day
JH4S	JH4S	Skeleton	Col4	Day
JH5S	JH5S	Skeleton	Col5	Day
JH6S	JH6S	Skeleton	Col6	Night
JH7S	JH7S	Skeleton	Col7	Night
