Seq	JH1T	JH1O	JH1S	JH3T	JH3O	JH3S	JH4T	JH4O	JH4S	JH5T	JH5O	JH5S	JH6T	JH6O	JH6S	JH7T	JH7O	JH7S
Seq1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq2	0	2	6133	0	81	8921	0	0	1130	0	562	866	0	76	2376	0	36	13241
Seq3	0	0	53	0	0	120	0	0	58	0	1	40	0	3	211	0	0	95
Seq4	0	0	73	0	0	220	0	0	67	0	1	48	0	1	157	0	0	148
Seq5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6
Seq6	0	0	34	0	0	1	0	0	0	0	0	4	0	2	1	0	0	15
Seq7	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
Seq8	0	0	11	0	0	0	0	0	1	0	0	0	0	0	6	0	0	6
Seq9	0	0	0	0	0	1	0	0	2	0	0	2	0	0	6	0	0	8
Seq10	0	0	720	0	0	8	0	0	3	0	0	1	0	0	2	0	0	29
Seq11	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0
Seq12	0	0	238	0	0	745	0	0	211	0	1	230	0	12	550	0	0	720
Seq13	0	0	17	0	0	37	0	0	8	0	0	4	0	0	4	0	0	56
Seq14	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Seq15	0	0	625	0	7	1598	0	0	330	0	9	124	0	8	468	0	1	2028
Seq16	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0
Seq17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Seq18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
Seq19	0	0	0	0	0	13	0	0	35	0	1	21	0	1	10	0	0	0
Seq20	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0
Seq21	0	0	1508	0	2	3131	0	1	342	0	4	128	0	13	441	0	0	3685
Seq22	0	0	91	0	1	456	0	0	32	0	0	14	0	1	32	0	0	459
Seq23	0	0	6	0	0	7	0	0	0	0	0	1	0	0	0	0	0	3
Seq24	0	0	4	0	0	3	0	0	2	0	0	8	0	0	5	0	0	10
Seq25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Seq26	0	0	1	0	0	0	0	0	8	0	0	0	0	0	21	0	0	0
Seq27	0	0	584	0	0	85	0	0	0	0	0	0	0	0	0	0	0	136
Seq28	0	0	11	0	0	2	0	0	0	0	0	2	0	0	0	0	0	3
Seq29	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Seq30	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4
Seq31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Seq32	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Seq33	0	0	2096	0	0	120	0	0	2	0	0	0	0	0	0	0	0	442
Seq34	0	0	90	0	0	28	0	0	1	0	0	0	0	0	0	0	0	31
Seq35	0	0	1266	0	0	554	0	0	3	0	0	23	0	0	15	0	1	1045
Seq36	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	0	0	17
Seq37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Seq38	0	0	1	0	0	294	0	0	0	0	0	0	0	0	0	0	0	156
Seq39	0	0	2582	0	0	3237	0	0	0	0	4	1103	0	4	747	1	0	2414
Seq40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Seq41	0	1	416	0	0	359	0	0	1	0	1	2	0	0	1	0	0	373
Seq42	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	10
Seq43	0	0	1226	0	3	2786	0	0	0	0	0	0	0	0	3	0	0	1421
Seq44	0	0	927	0	0	324	0	0	0	0	0	0	0	0	1	0	0	393
Seq45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Seq46	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	5
Seq47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Seq48	0	0	197	0	0	595	0	0	1	0	0	1	0	0	2	0	0	1651
Seq49	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	20
Seq50	0	0	188	0	3	2741	0	0	9	0	0	10	0	0	18	0	2	5770
Seq51	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Seq52	0	0	267	0	0	71	0	0	0	0	1	0	0	0	0	0	0	225
Seq53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Seq54	0	0	3	0	0	10	0	0	0	0	0	0	0	0	0	0	0	11
Seq55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Seq56	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
Seq57	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
Seq58	0	0	267	0	0	24	0	0	0	0	0	0	0	0	0	0	0	287
Seq59	0	0	48	0	0	136	0	0	8	0	0	5	0	3	41	0	0	408
Seq60	0	0	3157	0	0	5329	0	0	5	0	0	2	0	0	7	0	2	8525
Seq61	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	24
Seq62	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Seq63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Seq64	0	0	48	0	0	17	0	0	0	0	0	0	0	0	0	0	0	245
Seq65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Seq66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Seq67	0	0	5	0	0	3	0	0	0	0	0	0	0	0	4	0	0	13
Seq68	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5
Seq69	0	1	7825	0	2	11628	0	0	17	0	2	10	0	1	41	0	2	16607
Seq70	0	0	2907	0	0	3755	0	0	0	0	0	1	0	0	0	0	0	3159
Seq71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Seq72	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Seq73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Seq74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Seq75	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Seq76	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	18
Seq77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
