Seq	Level1	Level2	Level3	Level4	Level5	Level6	Level7
Seq1	Archaea	Archa_uncl	Archa_uncl	Archa_uncl	Archa_uncl	Archa_uncl	Archa_uncl
Seq2	Archaea	Archa_uncl	Archa_uncl	Archa_uncl	Archa_uncl	Archa_uncl	Archa_uncl
Seq3	Archaea	Aenigmarchaeota	Aenigmarchaeota	Aenigmarchaeota	Aenigmarchaeota	Aenigmarchaeota	Aenigmarchaeota
Seq4	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Aenigmarchaeales	Aenigmarchaeales	Aenigmarchaeales
Seq5	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Candidatus Aenigmarchaeota archaeon JGI 0000106-F11	Candidatus Aenigmarchaeota archaeon JGI 0000106-F11	Candidatus Aenigmarchaeota archaeon JGI 0000106-F11
Seq6	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Candidatus Aenigmarchaeum	Candidatus Aenigmarchaeum	Candidatus Aenigmarchaeum
Seq7	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Candidatus Aenigmarchaeum	Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16	Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16
Seq8	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Candidatus Aenigmarchaeum	uncultured archaeon	uncultured archaeon
Seq9	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Candidatus Aenigmarchaeum	uncultured euryarchaeote	uncultured euryarchaeote
Seq10	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Candidatus Aenigmarchaeum	uncultured marine archaeon	uncultured marine archaeon
Seq11	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	hypersaline lake metagenome	hypersaline lake metagenome	hypersaline lake metagenome
Seq12	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	uncultured archaeon	uncultured archaeon	uncultured archaeon
Seq13	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	uncultured euryarchaeote	uncultured euryarchaeote	uncultured euryarchaeote
Seq14	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	uncultured sediment archaeon	uncultured sediment archaeon	uncultured sediment archaeon
Seq15	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	Deep Sea Euryarchaeotic GroupDSEG	Deep Sea Euryarchaeotic GroupDSEG	Deep Sea Euryarchaeotic GroupDSEG	Deep Sea Euryarchaeotic GroupDSEG
Seq16	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	marine metagenome	marine metagenome	marine metagenome	marine metagenome
Seq17	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	uncultured Methanobacteriaceae archaeon	uncultured Methanobacteriaceae archaeon	uncultured Methanobacteriaceae archaeon	uncultured Methanobacteriaceae archaeon
Seq18	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	uncultured SA2 group euryarchaeote	uncultured SA2 group euryarchaeote	uncultured SA2 group euryarchaeote	uncultured SA2 group euryarchaeote
Seq19	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	uncultured archaeon SAGMA-B	uncultured archaeon SAGMA-B	uncultured archaeon SAGMA-B	uncultured archaeon SAGMA-B
Seq20	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	uncultured archaeon pPCA7.17	uncultured archaeon pPCA7.17	uncultured archaeon pPCA7.17	uncultured archaeon pPCA7.17
Seq21	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	uncultured archaeon	uncultured archaeon	uncultured archaeon	uncultured archaeon
Seq22	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	uncultured euryarchaeote	uncultured euryarchaeote	uncultured euryarchaeote	uncultured euryarchaeote
Seq23	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	uncultured sediment archaeon	uncultured sediment archaeon	uncultured sediment archaeon	uncultured sediment archaeon
Seq24	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic GroupDSEG	unidentified archaeon	unidentified archaeon	unidentified archaeon	unidentified archaeon
Seq25	Archaea	Aenigmarchaeota	uncultured Methanococcales archaeon	uncultured Methanococcales archaeon	uncultured Methanococcales archaeon	uncultured Methanococcales archaeon	uncultured Methanococcales archaeon
Seq26	Archaea	Aenigmarchaeota	uncultured archaeon	uncultured archaeon	uncultured archaeon	uncultured archaeon	uncultured archaeon
Seq27	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	Candidatus Altiarchaeum
Seq28	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	Candidatus Altiarchaeales archaeon IMC4
Seq29	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	Candidatus Altiarchaeales archaeon WOR_SM1_86-2
Seq30	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	Candidatus Altiarchaeales archaeon WOR_SM1_SCG
Seq31	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	Candidatus Altiarchaeum sp. CG2_30_32_3053
Seq32	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	groundwater metagenome
Seq33	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	uncultured archaeon
Seq34	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	uncultured euryarchaeote
Seq35	Archaea	Asgardarchaeota	Asgardarchaeota	Asgardarchaeota	Asgardarchaeota	Asgardarchaeota	Asgardarchaeota
Seq36	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeia	Heimdallarchaeia	Heimdallarchaeia	Heimdallarchaeia
Seq37	Archaea	Asgardarchaeota	Heimdallarchaeia	Candidatus Heimdallarchaeota archaeon AB_125	Candidatus Heimdallarchaeota archaeon AB_125	Candidatus Heimdallarchaeota archaeon AB_125	Candidatus Heimdallarchaeota archaeon AB_125
Seq38	Archaea	Asgardarchaeota	Heimdallarchaeia	Candidatus Heimdallarchaeota archaeon LC_3	Candidatus Heimdallarchaeota archaeon LC_3	Candidatus Heimdallarchaeota archaeon LC_3	Candidatus Heimdallarchaeota archaeon LC_3
Seq39	Archaea	Asgardarchaeota	Heimdallarchaeia	uncultured archaeon	uncultured archaeon	uncultured archaeon	uncultured archaeon
