"KO"	"extracted_text"
"12"	"K13951"	"TRINITY_DN1000032_c0_g1_i1"
"25"	"K06685"	"TRINITY_DN1000312_c0_g1_i1"
"27"	"K10461"	"TRINITY_DN1000354_c0_g1_i1"
"29"	"K11187"	"TRINITY_DN1000373_c0_g1_i1"
"30"	"K01551"	"TRINITY_DN1000375_c0_g1_i1"
"32"	"K20191"	"TRINITY_DN1000543_c0_g1_i1"
"34"	"K14950"	"TRINITY_DN1000563_c0_g1_i1"
"35"	"K03241"	"TRINITY_DN1000583_c0_g1_i1"
"36"	"K10380"	"TRINITY_DN100058_c0_g1_i1"
"37"	"K10380"	"TRINITY_DN100058_c0_g1_i3"
"38"	"K10380"	"TRINITY_DN100058_c0_g1_i4"
"42"	"K10408"	"TRINITY_DN100067_c0_g1_i1"
"55"	"K06643"	"TRINITY_DN1000910_c0_g1_i1"
"56"	"K14856"	"TRINITY_DN1000931_c0_g1_i1"
"72"	"K15616"	"TRINITY_DN1000_c1_g1_i8"
"81"	"K03944"	"TRINITY_DN1001271_c0_g1_i1"
"89"	"K08206"	"TRINITY_DN1001567_c0_g1_i1"
"98"	"K16675"	"TRINITY_DN1001781_c0_g1_i1"
"103"	"K17824"	"TRINITY_DN1001926_c0_g1_i1"
"106"	"K01012"	"TRINITY_DN1001983_c0_g1_i1"
"109"	"K13288"	"TRINITY_DN1002021_c0_g1_i1"
"113"	"K08341"	"TRINITY_DN100207_c0_g1_i1"
"114"	"K08341"	"TRINITY_DN100207_c0_g2_i1"
"119"	"K17103"	"TRINITY_DN1002150_c0_g1_i1"
"124"	"K12478"	"TRINITY_DN100225_c0_g2_i1"
"132"	"K06184"	"TRINITY_DN100235_c0_g3_i2"
"133"	"K06184"	"TRINITY_DN100235_c0_g4_i1"
"134"	"K02905"	"TRINITY_DN100235_c1_g4_i1"
"135"	"K02905"	"TRINITY_DN100235_c1_g5_i1"
"139"	"K03012"	"TRINITY_DN1002404_c0_g1_i1"
"144"	"K21111"	"TRINITY_DN1002552_c0_g1_i1"
"147"	"K05765"	"TRINITY_DN1002585_c0_g1_i1"
"152"	"K11984"	"TRINITY_DN1002659_c0_g1_i1"
"157"	"K01027"	"TRINITY_DN1002755_c0_g1_i2"
